Fish,ID,Node_count,X,Y,Z,Sec,Error,dt,uSecs
174,768a,9,647239.1,4185931.6,3,1521836755,0.001645,3/23/2018 13:25,746941
174,768a,7,647239.6,4185931.6,4,1521836760,0.001814,3/23/2018 13:26,773959
174,768a,4,647241.1,4185932.6,5,1521836765,0.000477,3/23/2018 13:26,823503
174,768a,5,647240.6,4185933.1,4,1521836770,0.001148,3/23/2018 13:26,847929
174,768a,7,647240.6,4185932.1,5,1521836775,0.000985,3/23/2018 13:26,872024
174,768a,4,647243.6,4185937.1,1.5,1521836780,0.000903,3/23/2018 13:26,895063
174,768a,8,647241.1,4185934.1,0.5,1521836785,0.001971,3/23/2018 13:26,918740
174,768a,4,647241.1,4185933.6,1,1521836790,0.000213,3/23/2018 13:26,943848
174,768a,7,647240.6,4185932.6,2.5,1521836795,0.00095,3/23/2018 13:26,968682
174,768a,4,647241.1,4185932.6,5,1521836800,0.000544,3/23/2018 13:26,994985
174,768a,4,647241.6,4185933.6,5,1521836806,0.000558,3/23/2018 13:26,21484
174,768a,7,647241.6,4185934.1,4.5,1521836811,0.000901,3/23/2018 13:26,46165
174,768a,5,647243.1,4185939.1,0,1521836816,0.001304,3/23/2018 13:26,73240
174,768a,6,647243.1,4185937.1,0.5,1521836826,0.000601,3/23/2018 13:27,134405
174,768a,8,647244.1,4185939.6,0,1521836831,0.001943,3/23/2018 13:27,163636
174,768a,9,647244.6,4185938.1,5,1521836836,0.001944,3/23/2018 13:27,192507
174,768a,8,647245.1,4185940.6,0.5,1521836841,0.00191,3/23/2018 13:27,220082
174,768a,5,647246.1,4185941.6,1.5,1521836846,0.001121,3/23/2018 13:27,245688
174,768a,8,647246.1,4185941.1,0,1521836851,0.001905,3/23/2018 13:27,278534
174,768a,6,647249.6,4185928.1,3.5,1521836856,0.00134,3/23/2018 13:27,307668
174,768a,4,647246.6,4185939.6,1,1521836861,0.000508,3/23/2018 13:27,333923
174,768a,8,647247.1,4185939.6,0.5,1521836866,0.000878,3/23/2018 13:27,374021
174,768a,7,647248.1,4185939.6,0.5,1521836871,0.001773,3/23/2018 13:27,400859
174,768a,6,647249.1,4185939.1,0.5,1521836876,0.000648,3/23/2018 13:27,426586
174,768a,5,647250.6,4185939.1,1.5,1521836881,0.000668,3/23/2018 13:28,456074
174,768a,6,647251.6,4185939.6,0.5,1521836886,0.000347,3/23/2018 13:28,480981
174,768a,6,647253.1,4185938.6,4,1521836891,0.000505,3/23/2018 13:28,511473
174,768a,9,647254.6,4185939.1,0.5,1521836896,0.001905,3/23/2018 13:28,534133
